"REF_DATE","GEO","DGUID","Reason for marital breakdown","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2004","Manitoba, place of occurrence","2016A000246","Reason for marital breakdown, mental cruelty","Number","223","units ","0","v42137515","8.5","0","","","","0"
"2004","Saskatchewan, place of occurrence","2016A000247","Total, reason for marital breakdown","Number","223","units ","0","v42137516","9.1","1875","","","","0"
"2004","Saskatchewan, place of occurrence","2016A000247","Reason for marital breakdown, separation for at least one year","Number","223","units ","0","v42137517","9.2","1845","","","","0"
"2004","Saskatchewan, place of occurrence","2016A000247","Reason for marital breakdown, adultery","Number","223","units ","0","v42137518","9.3","18","","","","0"
"2004","Saskatchewan, place of occurrence","2016A000247","Reason for marital breakdown, physical cruelty","Number","223","units ","0","v42137519","9.4","11","","","","0"
"2004","Saskatchewan, place of occurrence","2016A000247","Reason for marital breakdown, mental cruelty","Number","223","units ","0","v42137520","9.5","1","","","","0"
"2004","Alberta, place of occurrence","2016A000248","Total, reason for marital breakdown","Number","223","units ","0","v42137521","10.1","8313","","","","0"
"2004","Alberta, place of occurrence","2016A000248","Reason for marital breakdown, separation for at least one year","Number","223","units ","0","v42137522","10.2","8140","","","","0"
"2004","Alberta, place of occurrence","2016A000248","Reason for marital breakdown, adultery","Number","223","units ","0","v42137523","10.3","73","","","","0"
"2004","Alberta, place of occurrence","2016A000248","Reason for marital breakdown, physical cruelty","Number","223","units ","0","v42137524","10.4","54","","","","0"
"2004","Alberta, place of occurrence","2016A000248","Reason for marital breakdown, mental cruelty","Number","223","units ","0","v42137525","10.5","46","","","","0"
"2004","British Columbia, place of occurrence","2016A000259","Total, reason for marital breakdown","Number","223","units ","0","v42137526","11.1","10047","","","","0"
"2004","British Columbia, place of occurrence","2016A000259","Reason for marital breakdown, separation for at least one year","Number","223","units ","0","v42137527","11.2","9864","","","","0"
"2004","British Columbia, place of occurrence","2016A000259","Reason for marital breakdown, adultery","Number","223","units ","0","v42137528","11.3","151","","","","0"
"2004","British Columbia, place of occurrence","2016A000259","Reason for marital breakdown, physical cruelty","Number","223","units ","0","v42137529","11.4","19","","","","0"
"2004","British Columbia, place of occurrence","2016A000259","Reason for marital breakdown, mental cruelty","Number","223","units ","0","v42137530","11.5","13","","","","0"
"2004","Yukon, place of occurrence","2016A000260","Total, reason for marital breakdown","Number","223","units ","0","v42137531","12.1","66","","","","0"
"2004","Yukon, place of occurrence","2016A000260","Reason for marital breakdown, separation for at least one year","Number","223","units ","0","v42137532","12.2","60","","","","0"
"2004","Yukon, place of occurrence","2016A000260","Reason for marital breakdown, adultery","Number","223","units ","0","v42137533","12.3","3","","","","0"
"2004","Yukon, place of occurrence","2016A000260","Reason for marital breakdown, physical cruelty","Number","223","units ","0","v42137534","12.4","1","","","","0"
"2004","Yukon, place of occurrence","2016A000260","Reason for marital breakdown, mental cruelty","Number","223","units ","0","v42137535","12.5","2","","","","0"
"2004","Northwest Territories, place of occurrence","2016A000261","Total, reason for marital breakdown","Number","223","units ","0","v42137536","14.1","70","","","","0"
"2004","Northwest Territories, place of occurrence","2016A000261","Reason for marital breakdown, separation for at least one year","Number","223","units ","0","v42137537","14.2","69","","","","0"
"2004","Northwest Territories, place of occurrence","2016A000261","Reason for marital breakdown, adultery","Number","223","units ","0","v42137538","14.3","1","","","","0"
"2004","Northwest Territories, place of occurrence","2016A000261","Reason for marital breakdown, physical cruelty","Number","223","units ","0","v42137539","14.4","0","","","","0"
"2004","Northwest Territories, place of occurrence","2016A000261","Reason for marital breakdown, mental cruelty","Number","223","units ","0","v42137540","14.5","0","","","","0"
"2004","Nunavut, place of occurrence","2016A000262","Total, reason for marital breakdown","Number","223","units ","0","v42137541","15.1","15","","","","0"
"2004","Nunavut, place of occurrence","2016A000262","Reason for marital breakdown, separation for at least one year","Number","223","units ","0","v42137542","15.2","14","","","","0"
"2004","Nunavut, place of occurrence","2016A000262","Reason for marital breakdown, adultery","Number","223","units ","0","v42137543","15.3","0","","","","0"
"2004","Nunavut, place of occurrence","2016A000262","Reason for marital breakdown, physical cruelty","Number","223","units ","0","v42137544","15.4","1","","","","0"
"2004","Nunavut, place of occurrence","2016A000262","Reason for marital breakdown, mental cruelty","Number","223","units ","0","v42137545","15.5","0","","","","0"
"2005","Canada, place of occurrence","2016A000011124","Total, reason for marital breakdown","Number","223","units ","0","v42137476","1.1","71241","","","","0"
"2005","Canada, place of occurrence","2016A000011124","Reason for marital breakdown, separation for at least one year","Number","223","units ","0","v42137477","1.2","67526","","","","0"
"2005","Canada, place of occurrence","2016A000011124","Reason for marital breakdown, adultery","Number","223","units ","0","v42137478","1.3","2218","","","","0"
"2005","Canada, place of occurrence","2016A000011124","Reason for marital breakdown, physical cruelty","Number","223","units ","0","v42137479","1.4","619","","","","0"
"2005","Canada, place of occurrence","2016A000011124","Reason for marital breakdown, mental cruelty","Number","223","units ","0","v42137480","1.5","878","","","","0"
"2005","Newfoundland and Labrador, place of occurrence","2016A000210","Total, reason for marital breakdown","Number","223","units ","0","v42137481","2.1","789","","","","0"
"2005","Newfoundland and Labrador, place of occurrence","2016A000210","Reason for marital breakdown, separation for at least one year","Number","223","units ","0","v42137482","2.2","771","","","","0"
"2005","Newfoundland and Labrador, place of occurrence","2016A000210","Reason for marital breakdown, adultery","Number","223","units ","0","v42137483","2.3","14","","","","0"
"2005","Newfoundland and Labrador, place of occurrence","2016A000210","Reason for marital breakdown, physical cruelty","Number","223","units ","0","v42137484","2.4","4","","","","0"
"2005","Newfoundland and Labrador, place of occurrence","2016A000210","Reason for marital breakdown, mental cruelty","Number","223","units ","0","v42137485","2.5","0","","","","0"
"2005","Prince Edward Island, place of occurrence","2016A000211","Total, reason for marital breakdown","Number","223","units ","0","v42137486","3.1","283","","","","0"
"2005","Prince Edward Island, place of occurrence","2016A000211","Reason for marital breakdown, separation for at least one year","Number","223","units ","0","v42137487","3.2","282","","","","0"
"2005","Prince Edward Island, place of occurrence","2016A000211","Reason for marital breakdown, adultery","Number","223","units ","0","v42137488","3.3","1","","","","0"
"2005","Prince Edward Island, place of occurrence","2016A000211","Reason for marital breakdown, physical cruelty","Number","223","units ","0","v42137489","3.4","0","","","","0"
"2005","Prince Edward Island, place of occurrence","2016A000211","Reason for marital breakdown, mental cruelty","Number","223","units ","0","v42137490","3.5","0","","","","0"
"2005","Nova Scotia, place of occurrence","2016A000212","Total, reason for marital breakdown","Number","223","units ","0","v42137491","4.1","1960","","","","0"
"2005","Nova Scotia, place of occurrence","2016A000212","Reason for marital breakdown, separation for at least one year","Number","223","units ","0","v42137492","4.2","1933","","","","0"
"2005","Nova Scotia, place of occurrence","2016A000212","Reason for marital breakdown, adultery","Number","223","units ","0","v42137493","4.3","17","","","","0"
"2005","Nova Scotia, place of occurrence","2016A000212","Reason for marital breakdown, physical cruelty","Number","223","units ","0","v42137494","4.4","5","","","","0"
"2005","Nova Scotia, place of occurrence","2016A000212","Reason for marital breakdown, mental cruelty","Number","223","units ","0","v42137495","4.5","5","","","","0"
"2005","New Brunswick, place of occurrence","2016A000213","Total, reason for marital breakdown","Number","223","units ","0","v42137496","5.1","1444","","","","0"
"2005","New Brunswick, place of occurrence","2016A000213","Reason for marital breakdown, separation for at least one year","Number","223","units ","0","v42137497","5.2","1406","","","","0"
"2005","New Brunswick, place of occurrence","2016A000213","Reason for marital breakdown, adultery","Number","223","units ","0","v42137498","5.3","27","","","","0"
"2005","New Brunswick, place of occurrence","2016A000213","Reason for marital breakdown, physical cruelty","Number","223","units ","0","v42137499","5.4","10","","","","0"
"2005","New Brunswick, place of occurrence","2016A000213","Reason for marital breakdown, mental cruelty","Number","223","units ","0","v42137500","5.5","1","","","","0"
"2005","Quebec, place of occurrence","2016A000224","Total, reason for marital breakdown","Number","223","units ","0","v42137501","6.1","15415","","","","0"
"2005","Quebec, place of occurrence","2016A000224","Reason for marital breakdown, separation for at least one year","Number","223","units ","0","v42137502","6.2","12595","","","","0"
"2005","Quebec, place of occurrence","2016A000224","Reason for marital breakdown, adultery","Number","223","units ","0","v42137503","6.3","1645","","","","0"
"2005","Quebec, place of occurrence","2016A000224","Reason for marital breakdown, physical cruelty","Number","223","units ","0","v42137504","6.4","441","","","","0"
"2005","Quebec, place of occurrence","2016A000224","Reason for marital breakdown, mental cruelty","Number","223","units ","0","v42137505","6.5","734","","","","0"
"2005","Ontario, place of occurrence","2016A000235","Total, reason for marital breakdown","Number","223","units ","0","v42137506","7.1","28794","","","","0"
"2005","Ontario, place of occurrence","2016A000235","Reason for marital breakdown, separation for at least one year","Number","223","units ","0","v42137507","7.2","28431","","","","0"
"2005","Ontario, place of occurrence","2016A000235","Reason for marital breakdown, adultery","Number","223","units ","0","v42137508","7.3","229","","","","0"
"2005","Ontario, place of occurrence","2016A000235","Reason for marital breakdown, physical cruelty","Number","223","units ","0","v42137509","7.4","77","","","","0"
"2005","Ontario, place of occurrence","2016A000235","Reason for marital breakdown, mental cruelty","Number","223","units ","0","v42137510","7.5","57","","","","0"
"2005","Manitoba, place of occurrence","2016A000246","Total, reason for marital breakdown","Number","223","units ","0","v42137511","8.1","2428","","","","0"
"2005","Manitoba, place of occurrence","2016A000246","Reason for marital breakdown, separation for at least one year","Number","223","units ","0","v42137512","8.2","2391","","","","0"
"2005","Manitoba, place of occurrence","2016A000246","Reason for marital breakdown, adultery","Number","223","units ","0","v42137513","8.3","26","","","","0"
"2005","Manitoba, place of occurrence","2016A000246","Reason for marital breakdown, physical cruelty","Number","223","units ","0","v42137514","8.4","10","","","","0"
"2005","Manitoba, place of occurrence","2016A000246","Reason for marital breakdown, mental cruelty","Number","223","units ","0","v42137515","8.5","1","","","","0"
"2005","Saskatchewan, place of occurrence","2016A000247","Total, reason for marital breakdown","Number","223","units ","0","v42137516","9.1","1922","","","","0"
"2005","Saskatchewan, place of occurrence","2016A000247","Reason for marital breakdown, separation for at least one year","Number","223","units ","0","v42137517","9.2","1887","","","","0"
"2005","Saskatchewan, place of occurrence","2016A000247","Reason for marital breakdown, adultery","Number","223","units ","0","v42137518","9.3","20","","","","0"
"2005","Saskatchewan, place of occurrence","2016A000247","Reason for marital breakdown, physical cruelty","Number","223","units ","0","v42137519","9.4","12","","","","0"
"2005","Saskatchewan, place of occurrence","2016A000247","Reason for marital breakdown, mental cruelty","Number","223","units ","0","v42137520","9.5","3","","","","0"
"2005","Alberta, place of occurrence","2016A000248","Total, reason for marital breakdown","Number","223","units ","0","v42137521","10.1","8069","","","","0"
"2005","Alberta, place of occurrence","2016A000248","Reason for marital breakdown, separation for at least one year","Number","223","units ","0","v42137522","10.2","7871","","","","0"
"2005","Alberta, place of occurrence","2016A000248","Reason for marital breakdown, adultery","Number","223","units ","0","v42137523","10.3","95","","","","0"
"2005","Alberta, place of occurrence","2016A000248","Reason for marital breakdown, physical cruelty","Number","223","units ","0","v42137524","10.4","41","","","","0"
"2005","Alberta, place of occurrence","2016A000248","Reason for marital breakdown, mental cruelty","Number","223","units ","0","v42137525","10.5","62","","","","0"
"2005","British Columbia, place of occurrence","2016A000259","Total, reason for marital breakdown","Number","223","units ","0","v42137526","11.1","9953","","","","0"
"2005","British Columbia, place of occurrence","2016A000259","Reason for marital breakdown, separation for at least one year","Number","223","units ","0","v42137527","11.2","9789","","","","0"
"2005","British Columbia, place of occurrence","2016A000259","Reason for marital breakdown, adultery","Number","223","units ","0","v42137528","11.3","133","","","","0"
"2005","British Columbia, place of occurrence","2016A000259","Reason for marital breakdown, physical cruelty","Number","223","units ","0","v42137529","11.4","18","","","","0"
"2005","British Columbia, place of occurrence","2016A000259","Reason for marital breakdown, mental cruelty","Number","223","units ","0","v42137530","11.5","13","","","","0"
"2005","Yukon, place of occurrence","2016A000260","Total, reason for marital breakdown","Number","223","units ","0","v42137531","12.1","109","","","","0"
"2005","Yukon, place of occurrence","2016A000260","Reason for marital breakdown, separation for at least one year","Number","223","units ","0","v42137532","12.2","99","","","","0"
"2005","Yukon, place of occurrence","2016A000260","Reason for marital breakdown, adultery","Number","223","units ","0","v42137533","12.3","8","","","","0"
"2005","Yukon, place of occurrence","2016A000260","Reason for marital breakdown, physical cruelty","Number","223","units ","0","v42137534","12.4","1","","","","0"
"2005","Yukon, place of occurrence","2016A000260","Reason for marital breakdown, mental cruelty","Number","223","units ","0","v42137535","12.5","1","","","","0"
"2005","Northwest Territories, place of occurrence","2016A000261","Total, reason for marital breakdown","Number","223","units ","0","v42137536","14.1","65","","","","0"
"2005","Northwest Territories, place of occurrence","2016A000261","Reason for marital breakdown, separation for at least one year","Number","223","units ","0","v42137537","14.2","62","","","","0"
"2005","Northwest Territories, place of occurrence","2016A000261","Reason for marital breakdown, adultery","Number","223","units ","0","v42137538","14.3","2","","","","0"
"2005","Northwest Territories, place of occurrence","2016A000261","Reason for marital breakdown, physical cruelty","Number","223","units ","0","v42137539","14.4","0","","","","0"
"2005","Northwest Territories, place of occurrence","2016A000261","Reason for marital breakdown, mental cruelty","Number","223","units ","0","v42137540","14.5","1","","","","0"
"2005","Nunavut, place of occurrence","2016A000262","Total, reason for marital breakdown","Number","223","units ","0","v42137541","15.1","10","","","","0"
"2005","Nunavut, place of occurrence","2016A000262","Reason for marital breakdown, separation for at least one year","Number","223","units ","0","v42137542","15.2","9","","","","0"
"2005","Nunavut, place of occurrence","2016A000262","Reason for marital breakdown, adultery","Number","223","units ","0","v42137543","15.3","1","","","","0"
"2005","Nunavut, place of occurrence","2016A000262","Reason for marital breakdown, physical cruelty","Number","223","units ","0","v42137544","15.4","0","","","","0"
"2005","Nunavut, place of occurrence","2016A000262","Reason for marital breakdown, mental cruelty","Number","223","units ","0","v42137545","15.5","0","","","","0"
