REF_DATE,GEO,DGUID,Year of marriage,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2004,"Canada, place of occurrence",2016A000011124,1962,"Rate per 1,000 marriages",263,units ,0,v42139930,1.43,0.97,,,,2
2004,"Canada, place of occurrence",2016A000011124,1961,"Rate per 1,000 marriages",263,units ,0,v42139931,1.44,0.76,,,,2
2004,"Canada, place of occurrence",2016A000011124,1960,"Rate per 1,000 marriages",263,units ,0,v42139932,1.45,0.7,,,,2
2004,"Canada, place of occurrence",2016A000011124,1959,"Rate per 1,000 marriages",263,units ,0,v42139933,1.46,0.7,,,,2
2004,"Canada, place of occurrence",2016A000011124,1958,"Rate per 1,000 marriages",263,units ,0,v42139934,1.47,0.39,,,,2
2004,"Canada, place of occurrence",2016A000011124,1957,"Rate per 1,000 marriages",263,units ,0,v42139935,1.48,0.44,,,,2
2004,"Canada, place of occurrence",2016A000011124,1956,"Rate per 1,000 marriages",263,units ,0,v42139936,1.49,0.36,,,,2
2004,"Canada, place of occurrence",2016A000011124,1955,"Rate per 1,000 marriages",263,units ,0,v42139937,1.5,0.27,,,,2
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,2004,"Rate per 1,000 marriages",263,units ,0,v42139938,2.1,0,,,,2
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,2003,"Rate per 1,000 marriages",263,units ,0,v42139939,2.2,0.7,,,,2
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,2002,"Rate per 1,000 marriages",263,units ,0,v42139940,2.3,4.39,,,,2
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,2001,"Rate per 1,000 marriages",263,units ,0,v42139941,2.4,7.42,,,,2
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,2000,"Rate per 1,000 marriages",263,units ,0,v42139942,2.5,11.43,,,,2
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,1999,"Rate per 1,000 marriages",263,units ,0,v42139943,2.6,10.88,,,,2
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,1998,"Rate per 1,000 marriages",263,units ,0,v42139944,2.7,15.87,,,,2
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,1997,"Rate per 1,000 marriages",263,units ,0,v42139945,2.8,12.4,,,,2
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,1996,"Rate per 1,000 marriages",263,units ,0,v42139946,2.9,12.84,,,,2
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,1995,"Rate per 1,000 marriages",263,units ,0,v42139947,2.1,10.58,,,,2
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,1994,"Rate per 1,000 marriages",263,units ,0,v42139948,2.11,7.23,,,,2
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,1993,"Rate per 1,000 marriages",263,units ,0,v42139949,2.12,11.07,,,,2
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,1992,"Rate per 1,000 marriages",263,units ,0,v42139950,2.13,8.91,,,,2
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,1991,"Rate per 1,000 marriages",263,units ,0,v42139951,2.14,7.18,,,,2
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,1990,"Rate per 1,000 marriages",263,units ,0,v42139952,2.15,5.54,,,,2
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,1989,"Rate per 1,000 marriages",263,units ,0,v42139953,2.16,9.48,,,,2
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,1988,"Rate per 1,000 marriages",263,units ,0,v42139954,2.17,7.6,,,,2
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,1987,"Rate per 1,000 marriages",263,units ,0,v42139955,2.18,6.89,,,,2
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,1986,"Rate per 1,000 marriages",263,units ,0,v42139956,2.19,4.97,,,,2
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,1985,"Rate per 1,000 marriages",263,units ,0,v42139957,2.2,12.11,,,,2
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,1984,"Rate per 1,000 marriages",263,units ,0,v42139958,2.21,6.45,,,,2
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,1983,"Rate per 1,000 marriages",263,units ,0,v42139959,2.22,5.03,,,,2
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,1982,"Rate per 1,000 marriages",263,units ,0,v42139960,2.23,6.64,,,,2
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,1981,"Rate per 1,000 marriages",263,units ,0,v42139961,2.24,7.18,,,,2
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,1980,"Rate per 1,000 marriages",263,units ,0,v42139962,2.25,4.49,,,,2
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,1979,"Rate per 1,000 marriages",263,units ,0,v42139963,2.26,4.01,,,,2
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,1978,"Rate per 1,000 marriages",263,units ,0,v42139964,2.27,5.99,,,,2
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,1977,"Rate per 1,000 marriages",263,units ,0,v42139965,2.28,4.88,,,,2
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,1976,"Rate per 1,000 marriages",263,units ,0,v42139966,2.29,1.68,,,,2
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,1975,"Rate per 1,000 marriages",263,units ,0,v42139967,2.3,2.55,,,,2
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,1974,"Rate per 1,000 marriages",263,units ,0,v42139968,2.31,4.21,,,,2
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,1973,"Rate per 1,000 marriages",263,units ,0,v42139969,2.32,1.78,,,,2
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,1972,"Rate per 1,000 marriages",263,units ,0,v42139970,2.33,2.55,,,,2
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,1971,"Rate per 1,000 marriages",263,units ,0,v42139971,2.34,2.13,,,,2
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,1970,"Rate per 1,000 marriages",263,units ,0,v42139972,2.35,1.12,,,,2
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,1969,"Rate per 1,000 marriages",263,units ,0,v42139973,2.36,2.34,,,,2
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,1968,"Rate per 1,000 marriages",263,units ,0,v42139974,2.37,1.89,,,,2
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,1967,"Rate per 1,000 marriages",263,units ,0,v42139975,2.38,0.75,,,,2
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,1966,"Rate per 1,000 marriages",263,units ,0,v42139976,2.39,0.54,,,,2
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,1965,"Rate per 1,000 marriages",263,units ,0,v42139977,2.4,0.88,,,,2
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,1964,"Rate per 1,000 marriages",263,units ,0,v42139978,2.41,0.59,,,,2
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,1963,"Rate per 1,000 marriages",263,units ,0,v42139979,2.42,0,,,,2
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,1962,"Rate per 1,000 marriages",263,units ,0,v42139980,2.43,0.31,,,,2
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,1961,"Rate per 1,000 marriages",263,units ,0,v42139981,2.44,0,,,,2
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,1960,"Rate per 1,000 marriages",263,units ,0,v42139982,2.45,0,,,,2
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,1959,"Rate per 1,000 marriages",263,units ,0,v42139983,2.46,0.35,,,,2
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,1958,"Rate per 1,000 marriages",263,units ,0,v42139984,2.47,0,,,,2
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,1957,"Rate per 1,000 marriages",263,units ,0,v42139985,2.48,0.33,,,,2
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,1956,"Rate per 1,000 marriages",263,units ,0,v42139986,2.49,0.65,,,,2
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,1955,"Rate per 1,000 marriages",263,units ,0,v42139987,2.5,0,,,,2
2004,"Prince Edward Island, place of occurrence",2016A000211,2004,"Rate per 1,000 marriages",263,units ,0,v42139988,3.1,0,,,,2
2004,"Prince Edward Island, place of occurrence",2016A000211,2003,"Rate per 1,000 marriages",263,units ,0,v42139989,3.2,2.43,,,,2
2004,"Prince Edward Island, place of occurrence",2016A000211,2002,"Rate per 1,000 marriages",263,units ,0,v42139990,3.3,4.44,,,,2
2004,"Prince Edward Island, place of occurrence",2016A000211,2001,"Rate per 1,000 marriages",263,units ,0,v42139991,3.4,8.88,,,,2
2004,"Prince Edward Island, place of occurrence",2016A000211,2000,"Rate per 1,000 marriages",263,units ,0,v42139992,3.5,12.47,,,,2
2004,"Prince Edward Island, place of occurrence",2016A000211,1999,"Rate per 1,000 marriages",263,units ,0,v42139993,3.6,12.88,,,,2
2004,"Prince Edward Island, place of occurrence",2016A000211,1998,"Rate per 1,000 marriages",263,units ,0,v42139994,3.7,14.74,,,,2
2004,"Prince Edward Island, place of occurrence",2016A000211,1997,"Rate per 1,000 marriages",263,units ,0,v42139995,3.8,14.84,,,,2
2004,"Prince Edward Island, place of occurrence",2016A000211,1996,"Rate per 1,000 marriages",263,units ,0,v42139996,3.9,9.74,,,,2
2004,"Prince Edward Island, place of occurrence",2016A000211,1995,"Rate per 1,000 marriages",263,units ,0,v42139997,3.1,12.54,,,,2
2004,"Prince Edward Island, place of occurrence",2016A000211,1994,"Rate per 1,000 marriages",263,units ,0,v42139998,3.11,10.59,,,,2
2004,"Prince Edward Island, place of occurrence",2016A000211,1993,"Rate per 1,000 marriages",263,units ,0,v42139999,3.12,14.69,,,,2
2004,"Prince Edward Island, place of occurrence",2016A000211,1992,"Rate per 1,000 marriages",263,units ,0,v42140000,3.13,17.65,,,,2
2004,"Prince Edward Island, place of occurrence",2016A000211,1991,"Rate per 1,000 marriages",263,units ,0,v42140001,3.14,12.56,,,,2
2004,"Prince Edward Island, place of occurrence",2016A000211,1990,"Rate per 1,000 marriages",263,units ,0,v42140002,3.15,13.05,,,,2
2004,"Prince Edward Island, place of occurrence",2016A000211,1989,"Rate per 1,000 marriages",263,units ,0,v42140003,3.16,16.68,,,,2
2004,"Prince Edward Island, place of occurrence",2016A000211,1988,"Rate per 1,000 marriages",263,units ,0,v42140004,3.17,11.4,,,,2
2004,"Prince Edward Island, place of occurrence",2016A000211,1987,"Rate per 1,000 marriages",263,units ,0,v42140005,3.18,11.9,,,,2
2004,"Prince Edward Island, place of occurrence",2016A000211,1986,"Rate per 1,000 marriages",263,units ,0,v42140006,3.19,12.37,,,,2
2004,"Prince Edward Island, place of occurrence",2016A000211,1985,"Rate per 1,000 marriages",263,units ,0,v42140007,3.2,13.6,,,,2
2004,"Prince Edward Island, place of occurrence",2016A000211,1984,"Rate per 1,000 marriages",263,units ,0,v42140008,3.21,9.46,,,,2
2004,"Prince Edward Island, place of occurrence",2016A000211,1983,"Rate per 1,000 marriages",263,units ,0,v42140009,3.22,5.34,,,,2
2004,"Prince Edward Island, place of occurrence",2016A000211,1982,"Rate per 1,000 marriages",263,units ,0,v42140010,3.23,11.7,,,,2
2004,"Prince Edward Island, place of occurrence",2016A000211,1981,"Rate per 1,000 marriages",263,units ,0,v42140011,3.24,5.89,,,,2
2004,"Prince Edward Island, place of occurrence",2016A000211,1980,"Rate per 1,000 marriages",263,units ,0,v42140012,3.25,7.45,,,,2
2004,"Prince Edward Island, place of occurrence",2016A000211,1979,"Rate per 1,000 marriages",263,units ,0,v42140013,3.26,6.72,,,,2
2004,"Prince Edward Island, place of occurrence",2016A000211,1978,"Rate per 1,000 marriages",263,units ,0,v42140014,3.27,6.39,,,,2
2004,"Prince Edward Island, place of occurrence",2016A000211,1977,"Rate per 1,000 marriages",263,units ,0,v42140015,3.28,3.36,,,,2
2004,"Prince Edward Island, place of occurrence",2016A000211,1976,"Rate per 1,000 marriages",263,units ,0,v42140016,3.29,4.12,,,,2
2004,"Prince Edward Island, place of occurrence",2016A000211,1975,"Rate per 1,000 marriages",263,units ,0,v42140017,3.3,3.21,,,,2
2004,"Prince Edward Island, place of occurrence",2016A000211,1974,"Rate per 1,000 marriages",263,units ,0,v42140018,3.31,1.01,,,,2
2004,"Prince Edward Island, place of occurrence",2016A000211,1973,"Rate per 1,000 marriages",263,units ,0,v42140019,3.32,1.97,,,,2
2004,"Prince Edward Island, place of occurrence",2016A000211,1972,"Rate per 1,000 marriages",263,units ,0,v42140020,3.33,2.96,,,,2
2004,"Prince Edward Island, place of occurrence",2016A000211,1971,"Rate per 1,000 marriages",263,units ,0,v42140021,3.34,1.04,,,,2
2004,"Prince Edward Island, place of occurrence",2016A000211,1970,"Rate per 1,000 marriages",263,units ,0,v42140022,3.35,3.29,,,,2
2004,"Prince Edward Island, place of occurrence",2016A000211,1969,"Rate per 1,000 marriages",263,units ,0,v42140023,3.36,2.3,,,,2
2004,"Prince Edward Island, place of occurrence",2016A000211,1968,"Rate per 1,000 marriages",263,units ,0,v42140024,3.37,0,,,,2
2004,"Prince Edward Island, place of occurrence",2016A000211,1967,"Rate per 1,000 marriages",263,units ,0,v42140025,3.38,6.23,,,,2
2004,"Prince Edward Island, place of occurrence",2016A000211,1966,"Rate per 1,000 marriages",263,units ,0,v42140026,3.39,0,,,,2
2004,"Prince Edward Island, place of occurrence",2016A000211,1965,"Rate per 1,000 marriages",263,units ,0,v42140027,3.4,4.21,,,,2
2004,"Prince Edward Island, place of occurrence",2016A000211,1964,"Rate per 1,000 marriages",263,units ,0,v42140028,3.41,0,,,,2
2004,"Prince Edward Island, place of occurrence",2016A000211,1963,"Rate per 1,000 marriages",263,units ,0,v42140029,3.42,1.46,,,,2
2004,"Prince Edward Island, place of occurrence",2016A000211,1962,"Rate per 1,000 marriages",263,units ,0,v42140030,3.43,1.48,,,,2
2004,"Prince Edward Island, place of occurrence",2016A000211,1961,"Rate per 1,000 marriages",263,units ,0,v42140031,3.44,0,,,,2
2004,"Prince Edward Island, place of occurrence",2016A000211,1960,"Rate per 1,000 marriages",263,units ,0,v42140032,3.45,0,,,,2
2004,"Prince Edward Island, place of occurrence",2016A000211,1959,"Rate per 1,000 marriages",263,units ,0,v42140033,3.46,1.56,,,,2
2004,"Prince Edward Island, place of occurrence",2016A000211,1958,"Rate per 1,000 marriages",263,units ,0,v42140034,3.47,0,,,,2
2004,"Prince Edward Island, place of occurrence",2016A000211,1957,"Rate per 1,000 marriages",263,units ,0,v42140035,3.48,1.59,,,,2
2004,"Prince Edward Island, place of occurrence",2016A000211,1956,"Rate per 1,000 marriages",263,units ,0,v42140036,3.49,0,,,,2
2004,"Prince Edward Island, place of occurrence",2016A000211,1955,"Rate per 1,000 marriages",263,units ,0,v42140037,3.5,0,,,,2
2004,"Nova Scotia, place of occurrence",2016A000212,2004,"Rate per 1,000 marriages",263,units ,0,v42140038,4.1,0.21,,,,2
2004,"Nova Scotia, place of occurrence",2016A000212,2003,"Rate per 1,000 marriages",263,units ,0,v42140039,4.2,2.32,,,,2
2004,"Nova Scotia, place of occurrence",2016A000212,2002,"Rate per 1,000 marriages",263,units ,0,v42140040,4.3,6.53,,,,2
2004,"Nova Scotia, place of occurrence",2016A000212,2001,"Rate per 1,000 marriages",263,units ,0,v42140041,4.4,9.38,,,,2
2004,"Nova Scotia, place of occurrence",2016A000212,2000,"Rate per 1,000 marriages",263,units ,0,v42140042,4.5,15.95,,,,2
2004,"Nova Scotia, place of occurrence",2016A000212,1999,"Rate per 1,000 marriages",263,units ,0,v42140043,4.6,14.6,,,,2
2004,"Nova Scotia, place of occurrence",2016A000212,1998,"Rate per 1,000 marriages",263,units ,0,v42140044,4.7,14.22,,,,2
2004,"Nova Scotia, place of occurrence",2016A000212,1997,"Rate per 1,000 marriages",263,units ,0,v42140045,4.8,15.65,,,,2
2004,"Nova Scotia, place of occurrence",2016A000212,1996,"Rate per 1,000 marriages",263,units ,0,v42140046,4.9,15.76,,,,2
2004,"Nova Scotia, place of occurrence",2016A000212,1995,"Rate per 1,000 marriages",263,units ,0,v42140047,4.1,18.95,,,,2
2004,"Nova Scotia, place of occurrence",2016A000212,1994,"Rate per 1,000 marriages",263,units ,0,v42140048,4.11,16.19,,,,2
2004,"Nova Scotia, place of occurrence",2016A000212,1993,"Rate per 1,000 marriages",263,units ,0,v42140049,4.12,14.81,,,,2
2004,"Nova Scotia, place of occurrence",2016A000212,1992,"Rate per 1,000 marriages",263,units ,0,v42140050,4.13,12.63,,,,2
2004,"Nova Scotia, place of occurrence",2016A000212,1991,"Rate per 1,000 marriages",263,units ,0,v42140051,4.14,12.83,,,,2
2004,"Nova Scotia, place of occurrence",2016A000212,1990,"Rate per 1,000 marriages",263,units ,0,v42140052,4.15,14.88,,,,2
2004,"Nova Scotia, place of occurrence",2016A000212,1989,"Rate per 1,000 marriages",263,units ,0,v42140053,4.16,13.47,,,,2
2004,"Nova Scotia, place of occurrence",2016A000212,1988,"Rate per 1,000 marriages",263,units ,0,v42140054,4.17,8.99,,,,2
2004,"Nova Scotia, place of occurrence",2016A000212,1987,"Rate per 1,000 marriages",263,units ,0,v42140055,4.18,9.86,,,,2
2004,"Nova Scotia, place of occurrence",2016A000212,1986,"Rate per 1,000 marriages",263,units ,0,v42140056,4.19,9.62,,,,2
2004,"Nova Scotia, place of occurrence",2016A000212,1985,"Rate per 1,000 marriages",263,units ,0,v42140057,4.2,7.93,,,,2
2004,"Nova Scotia, place of occurrence",2016A000212,1984,"Rate per 1,000 marriages",263,units ,0,v42140058,4.21,8.38,,,,2
2004,"Nova Scotia, place of occurrence",2016A000212,1983,"Rate per 1,000 marriages",263,units ,0,v42140059,4.22,10.15,,,,2
2004,"Nova Scotia, place of occurrence",2016A000212,1982,"Rate per 1,000 marriages",263,units ,0,v42140060,4.23,7.4,,,,2
2004,"Nova Scotia, place of occurrence",2016A000212,1981,"Rate per 1,000 marriages",263,units ,0,v42140061,4.24,7.39,,,,2
2004,"Nova Scotia, place of occurrence",2016A000212,1980,"Rate per 1,000 marriages",263,units ,0,v42140062,4.25,6.33,,,,2
2004,"Nova Scotia, place of occurrence",2016A000212,1979,"Rate per 1,000 marriages",263,units ,0,v42140063,4.26,6.65,,,,2
2004,"Nova Scotia, place of occurrence",2016A000212,1978,"Rate per 1,000 marriages",263,units ,0,v42140064,4.27,5.18,,,,2
2004,"Nova Scotia, place of occurrence",2016A000212,1977,"Rate per 1,000 marriages",263,units ,0,v42140065,4.28,5.39,,,,2
2004,"Nova Scotia, place of occurrence",2016A000212,1976,"Rate per 1,000 marriages",263,units ,0,v42140066,4.29,5.38,,,,2
2004,"Nova Scotia, place of occurrence",2016A000212,1975,"Rate per 1,000 marriages",263,units ,0,v42140067,4.3,4.82,,,,2
2004,"Nova Scotia, place of occurrence",2016A000212,1974,"Rate per 1,000 marriages",263,units ,0,v42140068,4.31,4.08,,,,2
2004,"Nova Scotia, place of occurrence",2016A000212,1973,"Rate per 1,000 marriages",263,units ,0,v42140069,4.32,5.77,,,,2
2004,"Nova Scotia, place of occurrence",2016A000212,1972,"Rate per 1,000 marriages",263,units ,0,v42140070,4.33,3.02,,,,2
2004,"Nova Scotia, place of occurrence",2016A000212,1971,"Rate per 1,000 marriages",263,units ,0,v42140071,4.34,1.89,,,,2
2004,"Nova Scotia, place of occurrence",2016A000212,1970,"Rate per 1,000 marriages",263,units ,0,v42140072,4.35,2.79,,,,2
2004,"Nova Scotia, place of occurrence",2016A000212,1969,"Rate per 1,000 marriages",263,units ,0,v42140073,4.36,2.28,,,,2
2004,"Nova Scotia, place of occurrence",2016A000212,1968,"Rate per 1,000 marriages",263,units ,0,v42140074,4.37,2.39,,,,2
2004,"Nova Scotia, place of occurrence",2016A000212,1967,"Rate per 1,000 marriages",263,units ,0,v42140075,4.38,1.94,,,,2
2004,"Nova Scotia, place of occurrence",2016A000212,1966,"Rate per 1,000 marriages",263,units ,0,v42140076,4.39,1.37,,,,2
2004,"Nova Scotia, place of occurrence",2016A000212,1965,"Rate per 1,000 marriages",263,units ,0,v42140077,4.4,0.9,,,,2
2004,"Nova Scotia, place of occurrence",2016A000212,1964,"Rate per 1,000 marriages",263,units ,0,v42140078,4.41,0.75,,,,2
2004,"Nova Scotia, place of occurrence",2016A000212,1963,"Rate per 1,000 marriages",263,units ,0,v42140079,4.42,1.17,,,,2
2004,"Nova Scotia, place of occurrence",2016A000212,1962,"Rate per 1,000 marriages",263,units ,0,v42140080,4.43,1.52,,,,2
2004,"Nova Scotia, place of occurrence",2016A000212,1961,"Rate per 1,000 marriages",263,units ,0,v42140081,4.44,0.76,,,,2
2004,"Nova Scotia, place of occurrence",2016A000212,1960,"Rate per 1,000 marriages",263,units ,0,v42140082,4.45,0.19,,,,2
2004,"Nova Scotia, place of occurrence",2016A000212,1959,"Rate per 1,000 marriages",263,units ,0,v42140083,4.46,0.19,,,,2
2004,"Nova Scotia, place of occurrence",2016A000212,1958,"Rate per 1,000 marriages",263,units ,0,v42140084,4.47,0.19,,,,2
2004,"Nova Scotia, place of occurrence",2016A000212,1957,"Rate per 1,000 marriages",263,units ,0,v42140085,4.48,0.19,,,,2
2004,"Nova Scotia, place of occurrence",2016A000212,1956,"Rate per 1,000 marriages",263,units ,0,v42140086,4.49,0.36,,,,2
2004,"Nova Scotia, place of occurrence",2016A000212,1955,"Rate per 1,000 marriages",263,units ,0,v42140087,4.5,0,,,,2
2004,"New Brunswick, place of occurrence",2016A000213,2004,"Rate per 1,000 marriages",263,units ,0,v42140088,5.1,0,,,,2
2004,"New Brunswick, place of occurrence",2016A000213,2003,"Rate per 1,000 marriages",263,units ,0,v42140089,5.2,2.15,,,,2
2004,"New Brunswick, place of occurrence",2016A000213,2002,"Rate per 1,000 marriages",263,units ,0,v42140090,5.3,6.29,,,,2
2004,"New Brunswick, place of occurrence",2016A000213,2001,"Rate per 1,000 marriages",263,units ,0,v42140091,5.4,9.73,,,,2
2004,"New Brunswick, place of occurrence",2016A000213,2000,"Rate per 1,000 marriages",263,units ,0,v42140092,5.5,15.29,,,,2
