"REF_DATE","GEO","DGUID","Divorces","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1974","Yukon","","Divorces","Number","223","units ","0","v110","12.1","46","","","","0"
"1974","Northwest Territories including Nunavut","","Divorces","Number","223","units ","0","v111","13.1","59","","","t","0"
"1975","Canada","","Divorces","Number","223","units ","0","v107","1.1","50611","","","","0"
"1975","Newfoundland and Labrador","","Divorces","Number","223","units ","0","v108","2.1","380","","","","0"
"1975","Prince Edward Island","","Divorces","Number","223","units ","0","v112","3.1","75","","","","0"
"1975","Nova Scotia","","Divorces","Number","223","units ","0","v113","4.1","1597","","","","0"
"1975","New Brunswick","","Divorces","Number","223","units ","0","v114","5.1","758","","","","0"
"1975","Quebec","","Divorces","Number","223","units ","0","v115","6.1","14093","","","","0"
"1975","Ontario","","Divorces","Number","223","units ","0","v116","7.1","17485","","","","0"
"1975","Manitoba","","Divorces","Number","223","units ","0","v117","8.1","1984","","","","0"
"1975","Saskatchewan","","Divorces","Number","223","units ","0","v118","9.1","1131","","","","0"
"1975","Alberta","","Divorces","Number","223","units ","0","v119","10.1","5475","","","","0"
"1975","British Columbia","","Divorces","Number","223","units ","0","v109","11.1","7534","","","","0"
"1975","Yukon","","Divorces","Number","223","units ","0","v110","12.1","43","","","","0"
"1975","Northwest Territories including Nunavut","","Divorces","Number","223","units ","0","v111","13.1","56","","","t","0"
"1976","Canada","","Divorces","Number","223","units ","0","v107","1.1","54207","","","","0"
"1976","Newfoundland and Labrador","","Divorces","Number","223","units ","0","v108","2.1","424","","","","0"
"1976","Prince Edward Island","","Divorces","Number","223","units ","0","v112","3.1","116","","","","0"
"1976","Nova Scotia","","Divorces","Number","223","units ","0","v113","4.1","1753","","","","0"
"1976","New Brunswick","","Divorces","Number","223","units ","0","v114","5.1","938","","","","0"
"1976","Quebec","","Divorces","Number","223","units ","0","v115","6.1","15186","","","","0"
"1976","Ontario","","Divorces","Number","223","units ","0","v116","7.1","18589","","","","0"
"1976","Manitoba","","Divorces","Number","223","units ","0","v117","8.1","1941","","","","0"
"1976","Saskatchewan","","Divorces","Number","223","units ","0","v118","9.1","1207","","","","0"
"1976","Alberta","","Divorces","Number","223","units ","0","v119","10.1","5697","","","","0"
