REF_DATE,GEO,DGUID,Duration of marriage,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2004,"Canada, place of occurrence",2016A000011124,"Duration of marriage, not stated",Number,223,units ,0,v42139328,1.43,3,,,,0
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,"Year of marriage, all years",Number,223,units ,0,v42139329,2.1,837,,,,0
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,"Duration of marriage, 0 years",Number,223,units ,0,v42139330,2.2,1,,,,0
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,"Duration of marriage, 1 to 4 years",Number,223,units ,0,v42139331,2.3,93,,,,0
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,"Duration of marriage, 1 year",Number,223,units ,0,v42139332,2.4,6,,,,0
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,"Duration of marriage, 2 years",Number,223,units ,0,v42139333,2.5,20,,,,0
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,"Duration of marriage, 3 years",Number,223,units ,0,v42139334,2.6,32,,,,0
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,"Duration of marriage, 4 years",Number,223,units ,0,v42139335,2.7,35,,,,0
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,"Duration of marriage, 5 to 9 years",Number,223,units ,0,v42139336,2.8,202,,,,0
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,"Duration of marriage, 5 years",Number,223,units ,0,v42139337,2.9,46,,,,0
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,"Duration of marriage, 6 years",Number,223,units ,0,v42139338,2.1,50,,,,0
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,"Duration of marriage, 7 years",Number,223,units ,0,v42139339,2.11,36,,,,0
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,"Duration of marriage, 8 years",Number,223,units ,0,v42139340,2.12,35,,,,0
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,"Duration of marriage, 9 years",Number,223,units ,0,v42139341,2.13,35,,,,0
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,"Duration of marriage, 10 to 14 years",Number,223,units ,0,v42139342,2.14,143,,,,0
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,"Duration of marriage, 10 years",Number,223,units ,0,v42139343,2.15,24,,,,0
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,"Duration of marriage, 11 years",Number,223,units ,0,v42139344,2.16,36,,,,0
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,"Duration of marriage, 12 years",Number,223,units ,0,v42139345,2.17,26,,,,0
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,"Duration of marriage, 13 years",Number,223,units ,0,v42139346,2.18,27,,,,0
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,"Duration of marriage, 14 years",Number,223,units ,0,v42139347,2.19,30,,,,0
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,"Duration of marriage, 15 to 19 years",Number,223,units ,0,v42139348,2.2,132,,,,0
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,"Duration of marriage, 15 years",Number,223,units ,0,v42139349,2.21,31,,,,0
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,"Duration of marriage, 16 years",Number,223,units ,0,v42139350,2.22,26,,,,0
